id,hustota
500011,116
500020,101
500046,210
500062,248
500071,158
500101,17
500127,8
500135,5
500151,12
500160,20
500194,11
500259,121
500291,341
500496,973
500526,151
500623,62
500801,98
500852,201
500861,35
500879,102
501476,74
501646,117
501751,124
501794,107
501841,121
502146,179
502235,156
502405,65
502545,208
502839,82
503142,39
503304,139
503410,28
503444,211
503622,58
503657,399
503738,125
503916,19
503941,0
504246,63
504301,156
504441,132
504505,110
504785,57
504807,59
504921,72
504955,47
505005,121
505013,94
505030,125
505081,93
505099,95
505111,208
505145,130
505161,131
505188,277
505218,79
505269,103
505293,100
505366,66
505391,37
505501,77
505528,52
505587,236
505609,367
505650,142
505668,200
505781,99
505862,59
505927,625
506192,116
506214,338
506320,58
506451,36
506460,37
506486,7
506494,14
506621,13
506664,11
506699,289
506702,273
506711,277
506729,56
506737,71
506753,237
506761,52
506770,74
507016,660
507091,74
507105,163
507113,84
507181,367
507237,69
507261,119
507270,125
507334,168
507377,21
507423,144
507458,22
507504,193
507547,148
507580,346
507610,16
507628,19
507644,17
507652,14
507695,32
507717,26
507733,13
507784,15
507920,89
507971,455
508004,42
508128,299
508144,45
508152,46
508357,25
508373,109
508501,34
508683,8
509078,41
509108,50
509116,31
509141,21
509191,6
509388,16
509418,22
509574,87
509612,199
509621,26
509647,135
509736,83
509752,30
509841,139
510068,30
510131,51
510289,184
510297,133
510343,83
510378,66
510432,73
510483,257
510491,416
510556,60
510645,19
510882,177
510891,41
510939,184
510980,47
511021,104
511081,25
511161,65
511242,67
511307,16
511382,739
511412,29
511587,46
511633,123
511935,80
511951,34
511986,15
512028,120
512176,192
512184,157
512192,176
512231,55
512281,78
512401,49
512532,104
512745,90
512800,220
512826,101
512869,176
512877,69
512893,29
512907,125
512923,324
512974,232
512982,144
512991,33
513032,130
513041,55
513059,59
513067,93
513075,37
513105,101
513113,130
513130,100
513148,46
513164,34
513181,42
513199,155
513202,21
513211,132
513229,177
513237,33
513261,79
513270,48
513288,58
513369,101
513393,102
513415,107
513423,91
513431,95
513458,567
513482,48
513491,171
513504,57
513512,35
513521,61
513539,32
513547,107
513555,88
513571,61
513580,29
513628,94
513636,100
513644,302
513661,42
513695,35
513709,48
513717,148
513733,57
513750,363
513768,74
513873,28
513890,32
514047,71
514055,196
514152,173
514161,19
514195,24
514276,50
514446,69
514471,180
514497,99
514527,33
514705,262
514772,54
514802,69
515191,104
515329,48
515418,69
515477,64
