Název,Kód obce,Okres,Kód okresu,Kraj,Kód kraje,PSČ
Želechovice nad Dřevnicí,500011,Zlín,CZ0724,Zlínský kraj,CZ072,76311
Petrov nad Desnou,500020,Šumperk,CZ0715,Olomoucký kraj,CZ071,78816
Libhošť,500046,Nový Jičín,CZ0804,Moravskoslezský kraj,CZ080,74257
Krhová,500062,Vsetín,CZ0723,Zlínský kraj,CZ072,75701
Poličná,500071,Vsetín,CZ0723,Zlínský kraj,CZ072,75701
Bražec,500101,Karlovy Vary,CZ0412,Karlovarský kraj,CZ041,36471
Doupovské Hradiště,500127,Karlovy Vary,CZ0412,Karlovarský kraj,CZ041,36272
Kozlov (OC),500135,Olomouc,CZ0712,Olomoucký kraj,CZ071,77200
Luboměř pod Strážnou,500151,Přerov,CZ0714,Olomoucký kraj,CZ071,75362
Město Libavá,500160,Olomouc,CZ0712,Olomoucký kraj,CZ071,78307
Polná na Šumavě,500194,Český Krumlov,CZ0312,Jihočeský kraj,CZ031,38226
Veřovice,500259,Nový Jičín,CZ0804,Moravskoslezský kraj,CZ080,74273
Vřesina (OV),500291,Ostrava-město,CZ0806,Moravskoslezský kraj,CZ080,74285
Olomouc,500496,Olomouc,CZ0712,Olomoucký kraj,CZ071,77900
Bělkovice-Lašťany,500526,Olomouc,CZ0712,Olomoucký kraj,CZ071,78316
Bílá Lhota,500623,Olomouc,CZ0712,Olomoucký kraj,CZ071,78321
Blatec,500801,Olomouc,CZ0712,Olomoucký kraj,CZ071,78375
Bohuňovice (OC),500852,Olomouc,CZ0712,Olomoucký kraj,CZ071,78314
Bouzov,500861,Olomouc,CZ0712,Olomoucký kraj,CZ071,78325
Bystročice,500879,Olomouc,CZ0712,Olomoucký kraj,CZ071,77900
Dlouhá Loučka (OC),501476,Olomouc,CZ0712,Olomoucký kraj,CZ071,78386
Dolany (OC),501646,Olomouc,CZ0712,Olomoucký kraj,CZ071,78316
Drahanovice,501751,Olomouc,CZ0712,Olomoucký kraj,CZ071,78344
Dub nad Moravou,501794,Olomouc,CZ0712,Olomoucký kraj,CZ071,78375
Grygov,501841,Olomouc,CZ0712,Olomoucký kraj,CZ071,78373
Hlubočky,502146,Olomouc,CZ0712,Olomoucký kraj,CZ071,78361
Hněvotín,502235,Olomouc,CZ0712,Olomoucký kraj,CZ071,78347
Hnojice,502405,Olomouc,CZ0712,Olomoucký kraj,CZ071,78501
Horka nad Moravou,502545,Olomouc,CZ0712,Olomoucký kraj,CZ071,78335
Cholina,502839,Olomouc,CZ0712,Olomoucký kraj,CZ071,78322
Jívová,503142,Olomouc,CZ0712,Olomoucký kraj,CZ071,78316
Kožušany-Tážaly,503304,Olomouc,CZ0712,Olomoucký kraj,CZ071,78375
Žitovlice,503410,Nymburk,CZ0208,Středočeský kraj,CZ020,28934
Litovel,503444,Olomouc,CZ0712,Olomoucký kraj,CZ071,78401
Luká,503622,Olomouc,CZ0712,Olomoucký kraj,CZ071,78324
Lutín,503657,Olomouc,CZ0712,Olomoucký kraj,CZ071,78349
Majetín,503738,Olomouc,CZ0712,Olomoucký kraj,CZ071,75103
Kostelec (TC),503916,Tachov,CZ0327,Plzeňský kraj,CZ032,34901
Libavá,503941,Olomouc,CZ0712,Olomoucký kraj,CZ071,78501
Mladeč,504246,Olomouc,CZ0712,Olomoucký kraj,CZ071,78321
Dřenice,504301,Chrudim,CZ0531,Pardubický kraj,CZ053,53701
Náklo,504441,Olomouc,CZ0712,Olomoucký kraj,CZ071,78332
Náměšť na Hané,504505,Olomouc,CZ0712,Olomoucký kraj,CZ071,78344
Paseka,504785,Olomouc,CZ0712,Olomoucký kraj,CZ071,78397
Lány (CR),504807,Chrudim,CZ0531,Pardubický kraj,CZ053,53701
Třibřichy,504921,Chrudim,CZ0531,Pardubický kraj,CZ053,53701
Dvakačovice,504955,Chrudim,CZ0531,Pardubický kraj,CZ053,53862
Bítovany,505005,Chrudim,CZ0531,Pardubický kraj,CZ053,53851
Příkazy,505013,Olomouc,CZ0712,Olomoucký kraj,CZ071,78333
Dolní Bezděkov,505030,Chrudim,CZ0531,Pardubický kraj,CZ053,53862
Senice na Hané,505081,Olomouc,CZ0712,Olomoucký kraj,CZ071,78345
Červená Hora,505099,Náchod,CZ0523,Královéhradecký kraj,CZ052,54941
Slatinice,505111,Olomouc,CZ0712,Olomoucký kraj,CZ071,78342
Březová nad Svitavou,505145,Svitavy,CZ0533,Pardubický kraj,CZ053,56902
Štěpánov,505161,Olomouc,CZ0712,Olomoucký kraj,CZ071,78313
Šternberk,505188,Olomouc,CZ0712,Olomoucký kraj,CZ071,78501
Šumvald,505218,Olomouc,CZ0712,Olomoucký kraj,CZ071,78385
Těšetice (OC),505269,Olomouc,CZ0712,Olomoucký kraj,CZ071,78346
Troubelice,505293,Olomouc,CZ0712,Olomoucký kraj,CZ071,78383
