,name,dim1,dim2,size,id,parent_id,region,level
0,Želechovice nad Dřevnicí,-7.32328105167944,-0.648860511951861,1077,500011,,Zlínský kraj,
1,Petrov nad Desnou,8.65692509315621,-0.0582406035008586,611,500020,,Olomoucký kraj,
2,Libhošť,11.5013300269932,0.108102667404862,941,500046,,Moravskoslezský kraj,
3,Krhová,-2.78346946822434,-0.231058008894944,1164,500062,,Zlínský kraj,
4,Poličná,-2.73543095760233,-0.13869654746884,1043,500071,,Zlínský kraj,
5,Bražec,33.4325047552333,1.26926365571734,89,500101,,Karlovarský kraj,
6,Doupovské Hradiště,22.1996344881288,3.14986737703063,80,500127,,Karlovarský kraj,
7,Kozlov (OC),29.2667421517921,2.52846538184677,131,500135,,Olomoucký kraj,
8,Luboměř pod Strážnou,40.6582783904595,1.13601094368416,65,500151,,Olomoucký kraj,
9,Město Libavá,28.1434534704194,0.404792429726946,276,500160,,Olomoucký kraj,
10,Polná na Šumavě,-4.33167089420426,-0.802296212465273,97,500194,,Jihočeský kraj,
11,Veřovice,4.91669764189046,0.143753536516595,1088,500259,,Moravskoslezský kraj,
12,Vřesina (OV),-1.731370585296,-1.27830475627362,1699,500291,,Moravskoslezský kraj,
13,Olomouc,-9.02856108544352,-0.0762943944096854,52029,500496,,Olomoucký kraj,
14,Bělkovice-Lašťany,0.229284387012468,-0.73687026916992,1191,500526,,Olomoucký kraj,
15,Bílá Lhota,7.26743852960895,0.172201513834213,631,500623,,Olomoucký kraj,
16,Blatec,3.27721413345422,-0.384914976549701,371,500801,,Olomoucký kraj,
17,Bohuňovice (OC),-0.0829754081406669,-0.750213992205251,1453,500852,,Olomoucký kraj,
18,Bouzov,5.19678841429089,-0.662566983961353,883,500861,,Olomoucký kraj,
19,Bystročice,-2.76906586617116,-0.256346955641663,436,500879,,Olomoucký kraj,
20,Dlouhá Loučka (OC),10.206221566562,0.31573872923133,912,501476,,Olomoucký kraj,
21,Dolany (OC),-9.11913871121662,-0.370399550676362,1511,501646,,Olomoucký kraj,
22,Drahanovice,15.7945932206538,-0.421356208042952,946,501751,,Olomoucký kraj,
