letter,name,abbreviation,capital,population,size,density,gdp,gdp_per_capita,code
A,Praha,PHA,Praha,1309000,496.1,2360,1193.2,937542,CZ010
S,Středočeský,STČ,Praha,1369000,11014.97,104,552.5,414379,CZ020
C,Jihočeský,JHČ,České Budějovice,642000,10056.79,62,238.6,373833,CZ031
P,Plzeňský,PLK,Plzeň,585000,7560.93,73,243.9,422251,CZ032
K,Karlovarský,KVK,Karlovy Vary,295000,3314.46,92,89.5,300894,CZ041
U,Ústecký,ULK,Ústí nad Labem,821000,5334.52,154,274.3,333521,CZ042
L,Liberecký,LBK,Liberec,442000,3162.93,135,155.1,352313,CZ051
H,Královéhradecký,HKK,Hradec Králové,551000,4758.54,115,221.1,401056,CZ052
E,Pardubický,PAK,Pardubice,520000,4519,112,186.2,360372,CZ053
M,Olomoucký,OLK,Olomouc,633000,5266.57,123,219.9,346789,CZ071
T,Moravskoslezský,MSK,Ostrava,1203000,5426.83,227,466.7,385247,CZ080
B,Jihomoravský,JHM,Brno,1189000,7187.7,165,513.7,436043,CZ064
Z,Zlínský,ZLK,Zlín,583000,3963.55,149,228.6,391336,CZ072
J,Vysočina,VYS,Jihlava,509000,6795.56,75,190.1,373421,CZ063
