"","id","abbreviation","name","size","color","dim1","dim2"
"1",1,"Zelení","Strana zelených",53343,"#06b15d",-2.29745626342115,1.06609710668372
"2",2,"Švýc.dem.","Švýcarská demokracie",16823,"#666",-2.15498604805509,0.182416220255761
"3",3,"Volný","Volný blok",71587,"#666",7.5730648307272,0.814886392355491
"4",4,"SPD","Svoboda a přímá demokracie",513910,"#ea2329",25.4776371470592,1.09179096492748
"5",5,"ČSSD","Česká strana sociálně demokratická",250397,"#F07D00",6.81694765666544,-0.636764380012853
"6",6,"PB","Volte Pravý blok",586,"#666",-8.46693031085768,0.120441361872012
"7",7,"ANS","Aliance národních sil",5167,"#666",-1.04794531476564,0.120012808291265
"8",8,"Trikolóra SS","Trikolóra Svobodní Soukromníci",148463,"#3243d2",-3.12763368346884,0.169037683119441
"9",9,"APB","Aliance pro budoucnost",11531,"#666",1.27100628984969,-0.0291730883242747
"10",10,"Prameny","Hnutí Prameny",8599,"#666",-2.25775538073273,-0.00640286838537874
"11",11,"Levice","Levice",639,"#666",-6.75688818676347,-0.0993457339456782
"12",12,"Přísaha","Přísaha Roberta Šlechty",251562,"#0033FF",6.38051645838176,-0.438927854193657
"13",13,"SPOLU","SPOLU – ODS, KDU-ČSL, TOP 09",1493905,"#004494",-41.3289707367549,-0.951144692169676
"14",14,"Senioři 21","Senioři 21",3698,"#666",-5.26881447737053,0.0886005379292983
"15",15,"Urza","Urza.cz: Nechceme vaše hlasy",6775,"#666",0.467027813575091,-0.233975895624382
"16",16,"KČ","Koruna Česká",8635,"#666",-3.20774286343565,0.291875379477385
"17",17,"Piráti+STAN","Piráti a Starostové",839776,"#000000",-34.1240909470514,2.72631324690161
"18",18,"KSČM","Komunistická strana Čech a Moravy",193817,"#8c0000",17.9998026184783,-0.36987460134751
"19",19,"MZH","Moravské zemské hnutí",1648,"#666",-2.44135471378474,-0.510466660370691
"20",20,"ANO","ANO 2011",1458140,"#261060",38.3896378690114,-2.9823135689925
"21",21,"Otevřeme","Otevřeme Česko normálnímu životu",21804,"#666",3.4532473030986,0.173824638144803
"22",22,"Moravané","Moravané",14285,"#666",4.65168093961497,-0.586906996591663
