id,abbreviation,name,size,color
1,Zelení,Strana zelených,53343,#06b15d
2,Švýc.dem.,Švýcarská demokracie,16823,#666
3,Volný,Volný blok,71587,#666
4,SPD,Svoboda a přímá demokracie,513910,#ea2329
5,ČSSD,Česká strana sociálně demokratická,250397,#F07D00
6,PB,Volte Pravý blok,586,#666
7,ANS,Aliance národních sil,5167,#666
8,Trikolóra SS,Trikolóra Svobodní Soukromníci,148463,#3243d2
9,APB,Aliance pro budoucnost,11531,#666
10,Prameny,Hnutí Prameny,8599,#666
11,Levice,Levice,639,#666
12,Přísaha,Přísaha Roberta Šlechty,251562,#0033FF
13,SPOLU,"SPOLU – ODS, KDU-ČSL, TOP 09",1493905,#004494
14,Senioři 21,Senioři 21,3698,#666
15,Urza,Urza.cz: Nechceme vaše hlasy,6775,#666
16,KČ,Koruna Česká,8635,#666
17,Piráti+STAN,Piráti a Starostové,839776,#000000
18,KSČM,Komunistická strana Čech a Moravy,193817,#8c0000
19,MZH,Moravské zemské hnutí,1648,#666
20,ANO,ANO 2011,1458140,#261060
21,Otevřeme,Otevřeme Česko normálnímu životu,21804,#666
22,Moravané,Moravané,14285,#666
