,name,dim1,dim2,size,id,parent_id,region,level
0,Praha,-25.8166699253345,0.0587811517261145,627399,1000,,Hlavní město Praha,
1,Benešov,-8.46419881791287,-0.139003167803686,32603,2101,,Středočeský kraj,
2,Beroun,-15.0013958780323,-0.120487254414591,33800,2102,,Středočeský kraj,
3,Brandýs nad Labem-Stará Boleslav,-21.8232207481751,-0.15735729575059,57426,2103,,Středočeský kraj,
4,Čáslav,6.81242905780579,-0.1012026380295,13153,2104,,Středočeský kraj,
5,Černošice,-25.3925598990184,0.325381506097632,79389,2105,,Středočeský kraj,
6,Český Brod,-14.7570807008645,0.416617739592366,9773,2106,,Středočeský kraj,
7,Dobříš,-15.1978258620933,-0.0992506169150427,12730,2107,,Středočeský kraj,
8,Hořovice,-2.61167695286248,-0.541382337987481,15803,2108,,Středočeský kraj,
9,Kladno,-4.59797508919813,-0.0081074725011103,60334,2109,,Středočeský kraj,
10,Kolín,-2.69786876332055,1.72326476702122,42302,2110,,Středočeský kraj,
11,Kralupy nad Vltavou,-8.26456871792532,0.319978540826733,15912,2111,,Středočeský kraj,
12,Kutná Hora,-1.2156820046262,0.701677281736599,25709,2112,,Středočeský kraj,
13,Lysá nad Labem,-14.5595586774267,0.886596294212097,13764,2113,,Středočeský kraj,
14,Mělník,-4.6484662433035,-0.243435102287976,21953,2114,,Středočeský kraj,
15,Mladá Boleslav,-3.5305176677414,-0.0142081737938737,53303,2115,,Středočeský kraj,
16,Mnichovo Hradiště,-6.54287123433776,0.971978286115087,9671,2116,,Středočeský kraj,
17,Neratovice,-4.55421300827603,-0.335130141263168,15159,2117,,Středočeský kraj,
18,Nymburk,-3.38686024752778,0.187600985174571,20789,2118,,Středočeský kraj,
19,Poděbrady,-7.70712513948741,0.10422862521966,17324,2119,,Středočeský kraj,
20,Příbram,-0.0433374661531823,-0.314833899022354,36658,2120,,Středočeský kraj,
21,Rakovník,4.61890368837032,0.0602938144784862,28054,2121,,Středočeský kraj,
22,Říčany,-23.4755034137294,0.170396237992521,38880,2122,,Středočeský kraj,
23,Sedlčany,-10.2406313898002,-0.0514109121122391,12109,2123,,Středočeský kraj,
24,Slaný,1.16620203338707,0.0858252422165816,19401,2124,,Středočeský kraj,
25,Vlašim,1.02451066179852,-0.629274048522593,14074,2125,,Středočeský kraj,
26,Votice,3.31647075430306,-0.584358823522926,6561,2126,,Středočeský kraj,
27,Blatná,-4.04100151936619,-0.734885295445169,7288,3101,,Jihočeský kraj,
28,České Budějovice,-11.5357734997959,-0.542787980015362,86429,3102,,Jihočeský kraj,
29,Český Krumlov,-4.59888798284118,-0.518804390226554,20765,3103,,Jihočeský kraj,
30,Dačice,-0.188049381112379,-0.900547787562149,10269,3104,,Jihočeský kraj,
31,Jindřichův Hradec,0.472813783080171,-0.491785084655621,24732,3105,,Jihočeský kraj,
32,Kaplice,7.71171938496654,-0.330174866077207,9012,3106,,Jihočeský kraj,
33,Milevsko,-5.21806793581901,-1.10164257265407,9769,3107,,Jihočeský kraj,
34,Písek,-4.10254820430396,-0.854145635493636,27011,3108,,Jihočeský kraj,
35,Prachatice,-1.7189305959104,-0.727209812219213,16725,3109,,Jihočeský kraj,
36,Soběslav,-0.989923511888408,-1.19719011128648,11838,3110,,Jihočeský kraj,
37,Strakonice,1.8310386727477,-0.956993130038905,23166,3111,,Jihočeský kraj,
38,Tábor,-5.2199673690918,-0.746031707722463,42898,3112,,Jihočeský kraj,
39,Trhové Sviny,7.01970501995574,-0.588628455189962,10114,3113,,Jihočeský kraj,
40,Třeboň,1.09157591353859,-0.750278940381196,13721,3114,,Jihočeský kraj,
41,Týn nad Vltavou,-1.4042350359061,-0.583160220411302,7337,3115,,Jihočeský kraj,
42,Vimperk,-4.47903006706377,-0.442076998173556,8966,3116,,Jihočeský kraj,
43,Vodňany,1.05908669038058,-1.01693393500632,5799,3117,,Jihočeský kraj,
44,Blovice,6.49880026145156,-0.36467027633121,6482,3201,,Plzeňský kraj,
45,Domažlice,1.65285701677107,-0.51439525251796,19971,3202,,Plzeňský kraj,
46,Horažďovice,5.93719421086149,-0.425029345946002,6150,3203,,Plzeňský kraj,
47,Horšovský Týn,10.8743444868615,-0.263148596632491,6872,3204,,Plzeňský kraj,
48,Klatovy,3.40566705129441,-0.711935229800643,26215,3205,,Plzeňský kraj,
49,Kralovice,6.10634024313284,-0.787860880305396,12029,3206,,Plzeňský kraj,
50,Nepomuk,9.06014003799219,-0.333482070394503,5797,3207,,Plzeňský kraj,
51,Nýřany,-2.19498772045198,-0.309145863723756,29395,3208,,Plzeňský kraj,
52,Plzeň,-9.44375588057681,-0.504923961968243,92302,3209,,Plzeňský kraj,
53,Přeštice,1.48606776339931,-0.646519019820782,11865,3210,,Plzeňský kraj,
54,Rokycany,5.43248721835322,-0.595170905450662,25018,3211,,Plzeňský kraj,
55,Stod,5.52722367345482,-0.272884756676694,11188,3212,,Plzeňský kraj,
56,Stříbro,13.8591459423521,-0.0244307514160593,7662,3213,,Plzeňský kraj,
57,Sušice,2.13870910695941,-0.522349078314743,13253,3214,,Plzeňský kraj,
58,Tachov,16.7087953099352,0.36808301285612,15480,3215,,Plzeňský kraj,
59,Aš,16.275637750071,0.869410594158081,6575,4101,,Karlovarský kraj,
60,Cheb,11.0049134075687,0.523812998394948,21544,4102,,Karlovarský kraj,
61,Karlovy Vary,3.94929339914556,-0.122958702597923,40109,4103,,Karlovarský kraj,
62,Kraslice,22.242909462619,0.924847938401239,5474,4104,,Karlovarský kraj,
63,Mariánské Lázně,3.9583341298415,-0.447500372774863,11309,4105,,Karlovarský kraj,
64,Ostrov,7.6507025838834,0.37144763730544,13069,4106,,Karlovarský kraj,
65,Sokolov,16.0032562807652,0.579472550408577,32223,4107,,Karlovarský kraj,
66,Bílina,25.406245893272,0.339847676934762,7770,4201,,Ústecký kraj,
67,Děčín,14.3631262027701,0.215029487190165,35676,4202,,Ústecký kraj,
68,Chomutov,15.9089070816749,0.041272225945761,34250,4203,,Ústecký kraj,
69,Kadaň,15.9208359345359,-0.22694834664928,18038,4204,,Ústecký kraj,
70,Litoměřice,5.77660738810539,0.179383875626107,29145,4205,,Ústecký kraj,
71,Litvínov,18.1741554221097,0.0712832389013374,15843,4206,,Ústecký kraj,
72,Louny,14.3683490290139,-0.511058206590088,20729,4207,,Ústecký kraj,
73,Lovosice,15.4811518624524,-0.273910670238555,13577,4208,,Ústecký kraj,
74,Most,18.1432271529021,-0.0991736598105719,29756,4209,,Ústecký kraj,
75,Podbořany,23.1306806318971,-0.0640994886119222,7384,4210,,Ústecký kraj,
76,Roudnice nad Labem,-1.67800812334212,-0.444385401256307,17108,4211,,Ústecký kraj,
77,Rumburk,16.8437834923465,0.721102051989915,13635,4212,,Ústecký kraj,
78,Teplice,12.4029166584424,-0.409424539488631,46641,4213,,Ústecký kraj,
79,Ústí nad Labem,10.2433710130956,0.143199520436482,52975,4214,,Ústecký kraj,
80,Varnsdorf,17.0889403846099,0.65212092360535,8937,4215,,Ústecký kraj,
81,Žatec,18.9170499260796,0.0235900282674668,12478,4216,,Ústecký kraj,
82,Česká Lípa,10.6580800480234,1.076226210085,34195,5101,,Liberecký kraj,
83,Frýdlant,11.1057374336949,1.33994910688317,11399,5102,,Liberecký kraj,
84,Jablonec nad Nisou,-8.78178814756899,0.644811259345158,28643,5103,,Liberecký kraj,
85,Jilemnice,-15.1858838236759,1.21606979400555,12759,5104,,Liberecký kraj,
86,Liberec,-5.7017652068827,1.43340343285336,71996,5105,,Liberecký kraj,
87,Nový Bor,4.34823719922812,1.18971655498535,13297,5106,,Liberecký kraj,
88,Semily,-5.65460059350777,1.23263230463879,13759,5107,,Liberecký kraj,
89,Tanvald,0.0788229244330452,0.814395439825289,10350,5108,,Liberecký kraj,
90,Turnov,-14.0178576474607,1.05363167318215,18624,5109,,Liberecký kraj,
91,Železný Brod,-6.3677527073405,0.972279025921632,6527,5110,,Liberecký kraj,
92,Broumov,9.76741222234634,0.184621506567134,7608,5201,,Královéhradecký kraj,
93,Dobruška,-6.33032359859372,-0.729000678670048,11357,5202,,Královéhradecký kraj,
94,Dvůr Králové nad Labem,-3.34522601264035,-0.48292439385913,14116,5203,,Královéhradecký kraj,
95,Hořice,-0.416572957214097,-0.305958048599116,9886,5204,,Královéhradecký kraj,
96,Hradec Králové,-8.86995443917454,-0.548349521177558,79965,5205,,Královéhradecký kraj,
97,Jaroměř,0.473044039564529,-0.322799150018627,9504,5206,,Královéhradecký kraj,
98,Jičín,1.44920883166582,-0.296065716637862,25701,5207,,Královéhradecký kraj,
99,Kostelec nad Orlicí,0.596903700647197,-0.551039269939161,13026,5208,,Královéhradecký kraj,
100,Náchod,-7.65780057617483,-0.74803376880009,32651,5209,,Královéhradecký kraj,
101,Nová Paka,-6.75006768551616,1.19984846993695,7257,5210,,Královéhradecký kraj,
